algo_name,source_name
2mm,PolyBench
3d-rendering,rosetta
3mm,PolyBench
AES_Encrypt,operators
AES_Encrypt,hls_algorithms
BNN,rosetta
DES_encrypt,hls_algorithms
Decoder,rtl_module
NBCD_ADDER,rtl_module
NanoPowerComparator,rtl_module
PICO,rtl_chip
accuracy,ai_fpga_hls_algorithms
activation_functions,ai_fpga_hls_algorithms
active_learning,ai_fpga_hls_algorithms
actor_critic,ai_fpga_hls_algorithms
ad_da,rtl_module
adadelta,ai_fpga_hls_algorithms
adam_optimizer,ai_fpga_hls_algorithms
adc_16bit,operators
adc_24bit,operators
adc_8bit,operators
adder_16bit,operators
adder_32bit,operators
adder_64bit,operators
adder_8bit,operators
address_comparator,rtl_module
adi,PolyBench
adjusted_mutual_information,ai_fpga_hls_algorithms
adjusted_r_squared,ai_fpga_hls_algorithms
adpcm,CHStone
adpcm_processor,rtl_chip
adversarial_training,ai_fpga_hls_algorithms
aes,CHStone
aes,MachSuite
aes128_encrypt,operators
aggregation_of_m_axi_ports,Vitis-HLS-Introductory-Examples-flatten
aggregation_of_nested_structs,Vitis-HLS-Introductory-Examples-flatten
aggregation_of_struct,Vitis-HLS-Introductory-Examples-flatten
aliasing_axi_master_ports,Vitis-HLS-Introductory-Examples-flatten
all_reduce,ai_fpga_hls_algorithms
alu_16bit,operators
alu_32bit,operators
alu_4bit,rtl_module
alu_64bit,operators
alu_8bit,operators
analog_multiplier,rtl_module
and_gate,operators
anova,ai_fpga_hls_algorithms
ant_colony_optimization,ai_fpga_hls_algorithms
arbiter,rtl_module
arithmetic_converter,rtl_module
arithmetic_logic_unit,rtl_module
array_multiplier,operators
array_partition_block_cyclic,Vitis-HLS-Introductory-Examples-flatten
asynchronous_federated_learning,ai_fpga_hls_algorithms
asynchronous_training,ai_fpga_hls_algorithms
atax,PolyBench
attention_augmented_convolution,ai_fpga_hls_algorithms
attention_based_image_generation,ai_fpga_hls_algorithms
attention_based_text_generation,ai_fpga_hls_algorithms
attention_over_image_patches,ai_fpga_hls_algorithms
attention_pooling,ai_fpga_hls_algorithms
auc,ai_fpga_hls_algorithms
audio_compression,hls_algorithms
audio_mixing,hls_algorithms
audio_processor,rtl_chip
augmented_lagrangian,ai_fpga_hls_algorithms
automl,ai_fpga_hls_algorithms
backprop,MachSuite
backpropagation,hls_algorithms
bagging,ai_fpga_hls_algorithms
barrel_shifter,operators
barrel_shifter,rtl_module
baseband_signal_processor,rtl_chip
basic_arithmetic,Vitis-HLS-Introductory-Examples-flatten
basic_loops_primer,Vitis-HLS-Introductory-Examples-flatten
basic_pointers,Vitis-HLS-Introductory-Examples-flatten
batch_learning,ai_fpga_hls_algorithms
batch_normalization,ai_fpga_hls_algorithms
batch_renormalization,ai_fpga_hls_algorithms
battery_operated_power_comparator,rtl_module
bayesian_inference,ai_fpga_hls_algorithms
bayesian_optimization,ai_fpga_hls_algorithms
bcd_adder,rtl_module
bcd_rate_multiplier,rtl_module
bcd_to_7_segment_decoder,operators
beam_search,ai_fpga_hls_algorithms
beam_search_decoding,ai_fpga_hls_algorithms
bellman_ford,hls_algorithms
benjamini_hochberg_procedure,ai_fpga_hls_algorithms
bfgs,ai_fpga_hls_algorithms
bfs_bulk,MachSuite
bfs_queue,MachSuite
bicg,PolyBench
bidirectional_rnn,ai_fpga_hls_algorithms
bidirectional_shift_register,rtl_module
binary_adder_4bit,rtl_module
binary_counter,rtl_module
binary_encoding,ai_fpga_hls_algorithms
binary_full_adder,rtl_module
binary_rate_multiplier,rtl_module
binary_search,hls_algorithms
bit64_comparator,operators
bit_adder_2bit,operators
bit_comparator,operators
bit_comparator_4bit,operators
bit_counter,operators
bit_counter_2bit,operators
bit_divider,operators
bit_multiplier,operators
bit_multiplier_2bit,operators
black_scholes,hls_algorithms
bluetooth_module,operators
boosting,ai_fpga_hls_algorithms
booth_multiplier,operators
bootstrap_sampling,ai_fpga_hls_algorithms
box_cox_transformation,ai_fpga_hls_algorithms
branch_prediction,hls_algorithms
brent_kung_adder,operators
brier_score,ai_fpga_hls_algorithms
bst_operations,hls_algorithms
bubble_sort,hls_algorithms
bundle_methods,ai_fpga_hls_algorithms
burst_rw,Vitis-HLS-Introductory-Examples-flatten
bus_controller,rtl_module
butterworth_filter,hls_algorithms
butterworth_filter,operators
cache_replacement_lru_fifo,hls_algorithms
camera_controller,rtl_module
canny_edge_detection,hls_algorithms
carradio_signal_processor,rtl_chip
carry_lookahead_adder,operators
carry_save_adder,operators
carry_skip_adder,operators
catboost,ai_fpga_hls_algorithms
categorical_cross_entropy,ai_fpga_hls_algorithms
ccd_signal_processor,rtl_chip
center_loss,ai_fpga_hls_algorithms
chacha20,hls_algorithms
channel_photo_multiplier,rtl_module
chebyshev_filter,hls_algorithms
chebyshev_filter,operators
chi_squared_test,ai_fpga_hls_algorithms
cholesky,PolyBench
cholesky_decomposition,hls_algorithms
cis_analog_signal_processor,rtl_chip
client_selection,ai_fpga_hls_algorithms
clock_divider,rtl_module
clock_gating,hls_algorithms
clock_multiplier,rtl_module
cmos_alu,rtl_module
cmos_bcd_rata_multiplier,rtl_module
cmos_counter,rtl_module
cmos_fpu,rtl_module
codec,rtl_chip
codirectional_digital_data_processor,rtl_chip
collaborative_filtering,ai_fpga_hls_algorithms
color_space_converter,rtl_ip
communications_processor,rtl_chip
comparator_16bit,operators
comparator_32bit,operators
comparator_8bit,operators
completeness_score,ai_fpga_hls_algorithms
complex_accumulator,rtl_module
component_interface_processor,rtl_chip
contrastive_divergence,ai_fpga_hls_algorithms
contrastive_learning,ai_fpga_hls_algorithms
contrastive_loss,ai_fpga_hls_algorithms
conv_layer,ai_fpga_hls_algorithms
convolutional_encoder,hls_algorithms
cordic,hls_algorithms
correlation,PolyBench
cosine_loss,ai_fpga_hls_algorithms
cosine_similarity,ai_fpga_hls_algorithms
counter_16bit,operators
counter_32bit,operators
counter_64bit,operators
covariance,PolyBench
crc16,operators
crc32,hls_algorithms
crc32,operators
crc8,operators
cross_attention,ai_fpga_hls_algorithms
cross_device_federated_learning,ai_fpga_hls_algorithms
cross_modal_attention,ai_fpga_hls_algorithms
cross_silo_federated_learning,ai_fpga_hls_algorithms
cryptographic_rng,operators
crystal_oscillator,operators
csprng,hls_algorithms
current_multiplier,rtl_module
current_sensor,operators
curriculum_learning,ai_fpga_hls_algorithms
cutmix,ai_fpga_hls_algorithms
cutout,ai_fpga_hls_algorithms
cutting_plane_method,ai_fpga_hls_algorithms
d_flip_flop,operators
d_latch,operators
dac_16bit,operators
dac_24bit,operators
dac_8bit,operators
data_augmentation,ai_fpga_hls_algorithms
data_bus_16bit,operators
data_bus_32bit,operators
data_bus_8bit,operators
data_forwarding,hls_algorithms
data_integrity_with_checksum,hls_algorithms
dct,hls_algorithms
deadbeat_control,hls_algorithms
decade_counter,rtl_module
decision_tree_classifier,ai_fpga_hls_algorithms
decision_tree_inference,hls_algorithms
decoder_2to4,operators
decoder_3to8,operators
decoder_4_to_16,operators
decoder_5to32,operators
deepwalk,ai_fpga_hls_algorithms
dense_block,ai_fpga_hls_algorithms
depthwise_separable_conv,ai_fpga_hls_algorithms
deriche,PolyBench
des_encrypt,operators
deserializer,operators
dfadd,CHStone
dfmul,CHStone
dice_loss,ai_fpga_hls_algorithms
differential_comparator,rtl_module
digit-recognition,rosetta
digital_comparator,rtl_module
digital_counter,rtl_module
digital_image_processor,rtl_chip
digital_lcd_counter,rtl_module
digital_phase_shifter,hls_algorithms
dijkstra,hls_algorithms
dilated_convolution,ai_fpga_hls_algorithms
dimensionality_reduction,ai_fpga_hls_algorithms
disaggregation_of_axis_port,Vitis-HLS-Introductory-Examples-flatten
disentangled_representation_learning,ai_fpga_hls_algorithms
distributed_training,ai_fpga_hls_algorithms
divide_by_2,operators
divide_by_4,operators
divide_by_8,operators
divide_by_twelve_counter,rtl_module
divider,operators
dma,hls_algorithms
dma_control,rtl_module
dma_controller,operators
doitgen,PolyBench
dolby_b_noise_processor,rtl_chip
dot_product,hls_algorithms
down_counter,operators
dram_cell,operators
dram_cell_16bit,operators
dram_cell_4bit,operators
dropout,ai_fpga_hls_algorithms
dual_2bit_subtractor,rtl_module
dual_averaging,ai_fpga_hls_algorithms
dual_comparator,rtl_module
dual_differential_comparator,rtl_module
dual_mux_demux,rtl_module
dual_operational_comparator,rtl_module
dual_supply_shift_register,rtl_module
dual_temperature_comparator,rtl_module
dual_voltage_comparator,rtl_module
durbin,PolyBench
dvfs,hls_algorithms
dwt,hls_algorithms
dynamic_attention,ai_fpga_hls_algorithms
dynamic_range_compression,hls_algorithms
dynamic_routing,ai_fpga_hls_algorithms
e_com,rtl_chip
ecc_flags,Vitis-HLS-Introductory-Examples-flatten
echo_cancellation,hls_algorithms
edge_detector,operators
edge_triggered_d_flip_flop,operators
edit_distance,leetcode_hls_algorithms
eeprom_cell,operators
efficient_attention_mechanisms,ai_fpga_hls_algorithms
eight_bit_counter,operators
elastic_weight_consolidation,ai_fpga_hls_algorithms
electron_multiplier,rtl_module
embedded_microprocessor_fpu,rtl_module
encoder,rtl_module
encoder_16to4,operators
encoder_32_to_5,operators
encoder_4to2,operators
encoder_8to3,operators
entropy_based_methods,ai_fpga_hls_algorithms
equality_comparator,rtl_module
error_correction_with_arq,hls_algorithms
ethernet_mac_controller,operators
ethernet_mac_controller,hls_algorithms
euclidean_distance,ai_fpga_hls_algorithms
even_parity_generator,operators
f1_score,ai_fpga_hls_algorithms
factorization_machines,ai_fpga_hls_algorithms
fairness_aware_learning,ai_fpga_hls_algorithms
fan_speed_control,hls_algorithms
fast_dual_dac_multiplier,rtl_module
fc_series_adder,rtl_module
fc_series_multiplier,rtl_module
fdr_control,ai_fpga_hls_algorithms
fdtd-2d,PolyBench
feature_engineering,ai_fpga_hls_algorithms
feature_selection_rfe_selectkbest,ai_fpga_hls_algorithms
federated_active_learning,ai_fpga_hls_algorithms
federated_adversarial_learning,ai_fpga_hls_algorithms
federated_anomaly_detection,ai_fpga_hls_algorithms
federated_averaging,ai_fpga_hls_algorithms
federated_blockchain_integration,ai_fpga_hls_algorithms
federated_continual_learning,ai_fpga_hls_algorithms
federated_contrastive_learning,ai_fpga_hls_algorithms
federated_deep_learning,ai_fpga_hls_algorithms
federated_differential_privacy,ai_fpga_hls_algorithms
federated_edge_computing,ai_fpga_hls_algorithms
federated_ensemble_learning,ai_fpga_hls_algorithms
federated_few_shot_learning,ai_fpga_hls_algorithms
federated_financial_modeling,ai_fpga_hls_algorithms
federated_graph_learning,ai_fpga_hls_algorithms
federated_healthcare_analytics,ai_fpga_hls_algorithms
federated_homomorphic_encryption,ai_fpga_hls_algorithms
federated_knowledge_distillation,ai_fpga_hls_algorithms
federated_knowledge_graph_embedding,ai_fpga_hls_algorithms
federated_learning,ai_fpga_hls_algorithms
federated_lifelong_learning,ai_fpga_hls_algorithms
federated_model_compression,ai_fpga_hls_algorithms
federated_multi_modal_learning,ai_fpga_hls_algorithms
federated_multi_view_learning,ai_fpga_hls_algorithms
federated_neural_architecture_search,ai_fpga_hls_algorithms
federated_privacy_preserving_data_analytics,ai_fpga_hls_algorithms
federated_privacy_preserving_data_sharing,ai_fpga_hls_algorithms
federated_recommendation_systems,ai_fpga_hls_algorithms
federated_reinforcement_learning,ai_fpga_hls_algorithms
